order_item_id,product_id,quantity,unit_price,value_affected
OI0008440,PRD999,38,$32.88,"$1,249.44"
OI0008492,PRD9999,34,$211.91,"$7,204.94"
OI0008520,PRD9999,27,$127.84,"$3,451.68"
OI0008550,PRD999,12,$143.07,"$1,716.84"
OI0008667,PRD000,5,$53.47,$267.35
OI0008708,PRD999,1,$139.17,$139.17
OI0008718,PRD9999,23,$53.69,"$1,234.87"
OI0008765,PRD999,22,$94.76,"$2,084.72"
OI0008955,PRD000,34,$211.99,"$7,207.66"
OI0008980,PRD999,7,$119.91,$839.37
OI0009072,PRD999,28,$94.99,"$2,659.72"
OI0009119,PRD9999,32,$151.43,"$4,845.76"
OI0009165,PRD999,32,$165.22,"$5,287.04"
OI0009216,PRD999,35,$140.98,"$4,934.30"
OI0009274,PRD000,-21,$67.08,"-$1,408.68"
OI0009326,PRD000,4,$23.54,$94.16
OI0009362,PRD000,11,$33.89,$372.79
OI0009507,PRD000,28,$195.65,"$5,478.20"
OI0009598,PRD999,5,$202.46,"$1,012.30"
OI0009607,PRD9999,33,$51.87,"$1,711.71"
OI0009670,PRD9999,3,$77.44,$232.32
OI0009692,PRD000,39,$166.31,"$6,486.09"
OI0009834,PRD999,26,$81.22,"$2,111.72"
OI0009881,PRD999,28,$120.01,"$3,360.28"
OI0009997,PRD000,30,$118.43,"$3,552.90"
OI0010075,PRD000,20,$225.90,"$4,518.00"
OI0010143,PRD000,22,$146.27,"$3,217.94"
OI0010159,PRD9999,37,$22.57,$835.09
OI0010255,PRD9999,37,$28.87,"$1,068.19"
OI0010283,PRD9999,13,$28.11,$365.43
OI0010334,PRD000,37,$228.98,"$8,472.26"
OI0010399,PRD999,30,$114.85,"$3,445.50"
OI0010496,PRD000,22,$210.60,"$4,633.20"
OI0010530,PRD000,35,$158.45,"$5,545.75"
OI0010583,PRD000,18,$115.18,"$2,073.24"
OI0010625,PRD000,24,$21.44,$514.56
OI0010626,PRD000,4,$186.05,$744.20
OI0010811,PRD000,17,$236.10,"$4,013.70"
OI0010904,PRD9999,33,$73.02,"$2,409.66"
OI0010979,PRD9999,24,$73.70,"$1,768.80"
OI0010980,PRD9999,38,$161.39,"$6,132.82"
OI0011027,PRD9999,37,$155.88,"$5,767.56"
OI0011063,PRD999,29,$174.81,"$5,069.49"
OI0011151,PRD9999,38,$235.16,"$8,936.08"
OI0011250,PRD999,24,$200.87,"$4,820.88"
OI0011299,PRD999,15,$86.13,"$1,291.95"
OI0011313,PRD9999,33,$46.81,"$1,544.73"
OI0011328,PRD000,6,$182.29,"$1,093.74"
OI0011402,PRD000,38,$218.85,"$8,316.30"
OI0011476,PRD999,15,$139.56,"$2,093.40"
OI0011507,PRD000,21,$107.37,"$2,254.77"
OI0011519,PRD999,40,$152.55,"$6,102.00"
OI0011630,PRD9999,5,$229.07,"$1,145.35"
OI0011633,PRD000,17,$155.84,"$2,649.28"
OI0011694,PRD9999,11,$54.28,$597.08
OI0011699,PRD9999,31,$183.99,"$5,703.69"
OI0011721,PRD000,35,$162.27,"$5,679.45"
OI0011753,PRD000,31,$123.34,"$3,823.54"
OI0011796,PRD9999,11,$155.29,"$1,708.19"
OI0011847,PRD9999,13,$104.60,"$1,359.80"
OI0011855,PRD000,24,$216.23,"$5,189.52"
OI0011882,PRD9999,21,$172.37,"$3,619.77"
OI0011942,PRD9999,9,$55.64,$500.76
OI0011964,PRD999,36,$207.53,"$7,471.08"
OI0011967,PRD9999,30,$69.50,"$2,085.00"
OI0012053,PRD999,39,$119.15,"$4,646.85"
OI0012153,PRD9999,34,$122.54,"$4,166.36"
OI0012154,PRD000,37,$178.57,"$6,607.09"
OI0012229,PRD000,11,$78.88,$867.68
OI0012232,PRD000,10,$138.88,"$1,388.80"
OI0012269,PRD000,35,$114.38,"$4,003.30"
OI0012281,PRD999,7,$224.83,"$1,573.81"
OI0012286,PRD000,4,$188.21,$752.84
OI0012352,PRD999,38,$114.64,"$4,356.32"
OI0012371,PRD9999,2,$83.37,$166.74
OI0012764,PRD000,26,$181.82,"$4,727.32"
OI0012823,PRD000,9,$168.13,"$1,513.17"
OI0012841,PRD999,26,$158.80,"$4,128.80"
OI0012932,PRD000,14,$114.76,"$1,606.64"
OI0012979,PRD000,32,$34.92,"$1,117.44"
OI0012991,PRD9999,28,$146.67,"$4,106.76"
OI0013040,PRD9999,32,$127.44,"$4,078.08"
OI0013054,PRD999,1,$72.74,$72.74
OI0013124,PRD9999,18,$43.18,$777.24
OI0013144,PRD999,23,$151.94,"$3,494.62"
OI0013152,PRD999,21,$198.38,"$4,165.98"
OI0013291,PRD9999,14,$207.73,"$2,908.22"
OI0013306,PRD9999,34,$215.87,"$7,339.58"
OI0013376,PRD999,18,$68.79,"$1,238.22"
OI0013398,PRD000,29,$212.31,"$6,156.99"
OI0013521,PRD000,34,$220.05,"$7,481.70"
OI0013615,PRD999,1,$231.70,$231.70
OI0013672,PRD9999,7,$206.11,"$1,442.77"
OI0013753,PRD999,13,$173.54,"$2,256.02"
OI0013761,PRD999,36,$50.87,"$1,831.32"
OI0013868,PRD000,2,$64.76,$129.52
OI0013945,PRD999,39,$56.89,"$2,218.71"
OI0014075,PRD000,3,$103.19,$309.57
OI0014145,PRD000,29,$5.95,$172.55
OI0014204,PRD9999,19,$67.43,"$1,281.17"
OI0014206,PRD9999,38,$228.83,"$8,695.54"
OI0014256,PRD000,7,$183.30,"$1,283.10"
OI0014284,PRD999,10,$189.78,"$1,897.80"
OI0014310,PRD9999,6,$141.87,$851.22
OI0014371,PRD9999,7,$237.92,"$1,665.44"
OI0014385,PRD000,30,$146.81,"$4,404.30"
OI0014406,PRD999,11,$224.68,"$2,471.48"
OI0014488,PRD000,20,$9.08,$181.60
OI0014623,PRD9999,5,$205.41,"$1,027.05"
OI0014690,PRD000,29,$55.14,"$1,599.06"
OI0014917,PRD9999,3,$65.46,$196.38
OI0015008,PRD000,32,$100.14,"$3,204.48"
OI0015022,PRD999,22,$88.45,"$1,945.90"
OI0015050,PRD9999,33,$237.74,"$7,845.42"
OI0015141,PRD000,24,$32.43,$778.32
OI0015153,PRD000,-1,$23.70,-$23.70
OI0015193,PRD000,23,$130.67,"$3,005.41"
OI0015213,PRD000,20,$150.20,"$3,004.00"
OI0015239,PRD999,1,$87.96,$87.96
OI0015247,PRD999,5,$73.28,$366.40
OI0015319,PRD9999,12,$214.40,"$2,572.80"
OI0015352,PRD000,40,$217.98,"$8,719.20"
OI0015441,PRD9999,16,$95.83,"$1,533.28"
OI0015451,PRD999,19,$40.28,$765.32
OI0015576,PRD000,34,$200.29,"$6,809.86"
OI0015656,PRD999,39,$29.51,"$1,150.89"
OI0015672,PRD999,23,$186.78,"$4,295.94"
OI0015711,PRD9999,33,$156.00,"$5,148.00"
OI0015753,PRD999,34,$88.69,"$3,015.46"
OI0015786,PRD000,17,$209.28,"$3,557.76"
OI0015805,PRD9999,2,$16.71,$33.42
OI0015815,PRD000,28,$101.89,"$2,852.92"
OI0015817,PRD999,9,$205.72,"$1,851.48"
OI0015831,PRD000,17,$228.65,"$3,887.05"
OI0015978,PRD9999,12,$99.35,"$1,192.20"
OI0015992,PRD000,6,$145.49,$872.94
OI0016016,PRD999,32,$148.98,"$4,767.36"
OI0016056,PRD999,23,$172.70,"$3,972.10"
OI0016070,PRD000,15,$171.79,"$2,576.85"
OI0016105,PRD9999,9,$46.05,$414.45
OI0016217,PRD000,36,$116.40,"$4,190.40"
OI0016250,PRD999,12,$237.41,"$2,848.92"
OI0016260,PRD999,35,$99.23,"$3,473.05"
OI0016273,PRD9999,26,$191.55,"$4,980.30"
OI0016281,PRD999,15,$62.28,$934.20
OI0016311,PRD000,20,$48.01,$960.20
OI0016424,PRD999,32,$38.23,"$1,223.36"
OI0016498,PRD999,19,$193.56,"$3,677.64"
OI0016513,PRD000,23,$198.10,"$4,556.30"
OI0016582,PRD999,13,$188.87,"$2,455.31"
OI0016633,PRD9999,5,$80.58,$402.90
OI0016753,PRD9999,7,$166.70,"$1,166.90"
OI0016760,PRD000,30,$200.02,"$6,000.60"
OI0016776,PRD000,24,$95.94,"$2,302.56"
OI0016824,PRD9999,25,$185.30,"$4,632.50"
OI0016846,PRD000,17,$15.67,$266.39
OI0016852,PRD999,18,$34.23,$616.14
OI0016857,PRD999,11,$144.57,"$1,590.27"
OI0016864,PRD999,20,$29.99,$599.80
OI0016866,PRD9999,14,$192.94,"$2,701.16"
OI0016906,PRD9999,13,$150.60,"$1,957.80"
OI0016935,PRD999,17,$187.77,"$3,192.09"
OI0016946,PRD999,34,$33.95,"$1,154.30"
OI0017008,PRD9999,15,$109.16,"$1,637.40"
OI0017024,PRD000,16,$3.56,$56.96
OI0017072,PRD000,19,$141.62,"$2,690.78"
OI0017148,PRD9999,7,$105.44,$738.08
OI0017173,PRD000,10,$29.35,$293.50
OI0017176,PRD9999,2,$12.81,$25.62
OI0017178,PRD999,40,$194.78,"$7,791.20"
OI0017303,PRD9999,11,$111.48,"$1,226.28"
OI0017381,PRD9999,25,$179.34,"$4,483.50"
OI0017401,PRD000,10,$138.70,"$1,387.00"
OI0017474,PRD000,40,$153.43,"$6,137.20"
OI0017518,PRD999,16,$238.66,"$3,818.56"
OI0017519,PRD000,37,$151.75,"$5,614.75"
OI0017556,PRD9999,38,$185.96,"$7,066.48"
OI0017569,PRD999,9,$116.62,"$1,049.58"
OI0017585,PRD000,25,$235.32,"$5,883.00"
OI0017672,PRD9999,10,$115.81,"$1,158.10"
OI0017686,PRD999,19,$82.45,"$1,566.55"
OI0017690,PRD9999,18,$113.01,"$2,034.18"
OI0017719,PRD000,7,$148.86,"$1,042.02"
OI0017732,PRD000,9,$218.77,"$1,968.93"
OI0017759,PRD9999,3,$195.31,$585.93
OI0017760,PRD999,18,$14.49,$260.82
