order_item_id,order_id,quantity
OI0005307,ORD001764,-36
OI0005323,ORD001768,-37
OI0005364,ORD001785,-16
OI0005377,ORD001790,-32
OI0005394,ORD001795,-9
OI0005517,ORD001838,-13
OI0005532,ORD001842,-6
OI0005537,ORD001843,-35
OI0005598,ORD001866,-33
OI0005610,ORD001872,-9
OI0005611,ORD001873,-17
OI0005636,ORD001881,-21
OI0005637,ORD001882,-23
OI0005732,ORD001910,-8
OI0005764,ORD001920,-14
OI0005905,ORD001972,-9
OI0005923,ORD001979,-34
OI0005972,ORD001997,-13
OI0006031,ORD002016,-20
OI0006074,ORD002030,-36
OI0006080,ORD002032,-32
OI0006104,ORD002041,-7
OI0006190,ORD002070,-12
OI0006200,ORD002073,-14
OI0006229,ORD002082,-7
OI0006305,ORD002106,-30
OI0006361,ORD002124,-1
OI0006372,ORD002128,-39
OI0006574,ORD002196,-5
OI0006586,ORD002203,-21
OI0006633,ORD002220,-3
OI0006657,ORD002229,-1
OI0006681,ORD002236,-39
OI0006783,ORD002269,-34
OI0006836,ORD002284,-19
OI0006930,ORD002317,-5
OI0006994,ORD002342,-2
OI0007005,ORD002346,-37
OI0007174,ORD002401,-9
OI0007197,ORD002408,-11
OI0007257,ORD002428,-19
OI0007276,ORD002436,-6
OI0007279,ORD002437,-37
OI0007287,ORD002441,-38
OI0007294,ORD002442,-27
OI0007304,ORD002446,-29
OI0007406,ORD002478,-18
OI0007604,ORD002542,-5
OI0007791,ORD002613,-1
OI0007793,ORD002613,-24
OI0007829,ORD002628,-39
OI0007899,ORD002656,-39
OI0008084,ORD002725,-39
OI0008110,ORD002732,-13
OI0008171,ORD002753,-17
OI0008292,ORD002791,-22
OI0008311,ORD002796,-25
OI0008323,ORD002799,-34
OI0008368,ORD002814,-34
OI0008448,ORD002841,-6
OI0008521,ORD002865,-9
OI0008592,ORD002886,-13
OI0008911,ORD002987,-1
OI0008954,ORD003000,-8
OI0009162,ORD003073,-23
OI0009202,ORD003087,-38
OI0009274,ORD003114,-21
OI0009312,ORD003131,-31
OI0009471,ORD003184,-3
OI0009504,ORD003194,-27
OI0009658,ORD003248,-40
OI0009700,ORD003259,-34
OI0009708,ORD003261,-37
OI0009745,ORD003274,-37
OI0009788,ORD003288,-1
OI0009835,ORD003301,-15
OI0009880,ORD003318,-1
OI0009921,ORD003334,-20
OI0009933,ORD003336,-17
OI0009987,ORD003357,-14
OI0010006,ORD003362,-2
OI0010099,ORD003392,-4
OI0010156,ORD003411,-23
OI0010216,ORD003428,-20
OI0010321,ORD003461,-26
OI0010348,ORD003467,-22
OI0010396,ORD003483,-28
OI0010547,ORD003525,-16
OI0010636,ORD003551,-32
OI0010721,ORD003577,-3
OI0010747,ORD003584,-29
OI0010766,ORD003591,-23
OI0010789,ORD003598,-12
OI0010893,ORD003633,-7
OI0010909,ORD003638,-26
OI0010915,ORD003641,-29
OI0010941,ORD003649,-7
OI0010967,ORD003657,-20
OI0011010,ORD003673,-39
OI0011039,ORD003684,-35
OI0011058,ORD003690,-37
OI0011119,ORD003714,-25
OI0011206,ORD003742,-35
OI0011298,ORD003774,-40
OI0011410,ORD003813,-27
OI0011515,ORD003843,-34
OI0011577,ORD003862,-21
OI0011743,ORD003919,-17
OI0011811,ORD003944,-24
OI0011932,ORD003987,-3
OI0011938,ORD003989,-27
OI0011992,ORD004007,-24
OI0012044,ORD004025,-25
OI0012212,ORD004078,-24
OI0012325,ORD004110,-19
OI0012362,ORD004122,-27
OI0012427,ORD004140,-18
OI0012486,ORD004158,-6
OI0012537,ORD004173,-34
OI0012542,ORD004174,-21
OI0012640,ORD004203,-32
OI0012750,ORD004236,-1
OI0012780,ORD004250,-20
OI0012840,ORD004272,-5
OI0012854,ORD004277,-28
OI0012912,ORD004300,-1
OI0012943,ORD004312,-22
OI0012968,ORD004321,-20
OI0013017,ORD004336,-13
OI0013274,ORD004416,-22
OI0013333,ORD004436,-10
OI0013337,ORD004438,-32
OI0013340,ORD004439,-28
OI0013388,ORD004456,-14
OI0013391,ORD004458,-2
OI0013565,ORD004515,-13
OI0013844,ORD004612,-10
OI0013861,ORD004618,-30
OI0013872,ORD004621,-2
OI0013977,ORD004659,-33
OI0014012,ORD004670,-34
OI0014021,ORD004672,-26
OI0014038,ORD004678,-24
OI0014158,ORD004713,-22
OI0014195,ORD004726,-12
OI0014250,ORD004743,-20
OI0014272,ORD004749,-39
OI0014295,ORD004757,-2
OI0014304,ORD004761,-11
OI0014323,ORD004767,-23
OI0014357,ORD004778,-36
OI0014375,ORD004783,-27
OI0014388,ORD004789,-14
OI0014487,ORD004823,-26
OI0014634,ORD004874,-35
OI0014695,ORD004896,-16
OI0014700,ORD004898,-17
OI0014767,ORD004919,-34
OI0014912,ORD004974,-31
OI0014932,ORD004981,-23
OI0014933,ORD004981,-22
OI0014963,ORD004992,-35
OI0014967,ORD004993,-12
OI0015017,ORD005009,-15
OI0015025,ORD005011,-15
OI0015137,ORD005045,-1
OI0015144,ORD005047,-28
OI0015153,ORD005050,-1
OI0015178,ORD005058,-40
OI0015273,ORD005085,-25
OI0015287,ORD005088,-31
OI0015403,ORD005132,-11
OI0015432,ORD005141,-20
OI0015443,ORD005144,-10
OI0015456,ORD005150,-17
OI0015461,ORD005152,-3
OI0015485,ORD005158,-30
OI0015488,ORD005159,-23
OI0015499,ORD005163,-6
OI0015519,ORD005171,-16
OI0015575,ORD005191,-23
OI0015678,ORD005231,-26
OI0015950,ORD005319,-22
OI0016010,ORD005340,-32
OI0016081,ORD005363,-22
OI0016109,ORD005376,-12
OI0016138,ORD005384,-10
OI0016211,ORD005407,-25
OI0016257,ORD005424,-25
OI0016289,ORD005434,-7
OI0016299,ORD005437,-28
OI0016343,ORD005453,-1
OI0016380,ORD005467,-13
OI0016416,ORD005480,-9
OI0016697,ORD005578,-27
OI0016741,ORD005595,-35
OI0016823,ORD005621,-1
OI0017124,ORD005720,-15
OI0017141,ORD005726,-3
OI0017347,ORD005797,-40
OI0017355,ORD005800,-16
OI0017527,ORD005862,-28
OI0017560,ORD005873,-1
OI0017853,ORD005973,-1
